Data;Origem;Soma de Captação
04/01/2021;Offshore;-23571,34745
04/01/2021;Onshore;-3179724,89
05/01/2021;Offshore;-532690
05/01/2021;Onshore;1509833,65
06/01/2021;Onshore;-1139432,14
07/01/2021;Offshore;-267,165
07/01/2021;Onshore;753172,8202
08/01/2021;Onshore;1264114,34
11/01/2021;Onshore;2380576,88
12/01/2021;Onshore;584240,75
13/01/2021;Offshore;530700
13/01/2021;Onshore;-2081593,79
14/01/2021;Onshore;-1152430,13
15/01/2021;Onshore;2550047,663
18/01/2021;Onshore;2029261,67
19/01/2021;Offshore;-169424
19/01/2021;Onshore;163102,4277
20/01/2021;Onshore;2944777,917
21/01/2021;Onshore;1783624,194
22/01/2021;Onshore;6028065,01
25/01/2021;Offshore;176284,8
25/01/2021;Onshore;271456,12
26/01/2021;Onshore;-759144,52
27/01/2021;Onshore;725515,13
28/01/2021;Onshore;-2404285,36
29/01/2021;Offshore;-19165,65
29/01/2021;Onshore;1286617,408
01/02/2021;Offshore;973021,2895
01/02/2021;Onshore;1227038,1
02/02/2021;Offshore;-23210,643
02/02/2021;Onshore;3482781,04
03/02/2021;Onshore;156173,55
04/02/2021;Onshore;957731,15
05/02/2021;Onshore;2320493,5
08/02/2021;Onshore;1203453,96
09/02/2021;Onshore;34776,6
10/02/2021;Onshore;3731826,13
11/02/2021;Onshore;3617858,96
12/02/2021;Onshore;712562
17/02/2021;Onshore;785681,4942
18/02/2021;Onshore;1273768,951
19/02/2021;Onshore;-439155,0711
22/02/2021;Onshore;12436446,26
23/02/2021;Onshore;2469708,2
24/02/2021;Onshore;-1382706,34
25/02/2021;Onshore;4481019,74
26/02/2021;Onshore;2307290,67
01/03/2021;Offshore;-77368,85901
01/03/2021;Onshore;1039818,75
02/03/2021;Offshore;-24538,58845
02/03/2021;Onshore;150814,13
03/03/2021;Onshore;228139,16
04/03/2021;Onshore;1926141,36
05/03/2021;Onshore;435947,22
08/03/2021;Offshore;18892,05275
08/03/2021;Onshore;826968,53
09/03/2021;Onshore;2082223,52
10/03/2021;Onshore;5817544,5
11/03/2021;Onshore;-2317977,39
12/03/2021;Onshore;190484,35
